variant,symbol,anchor,sigma,hold,tr_trades,tr_sessions,tr_bps_per_trade,tr_bps_per_day,tr_win_rate,tr_profit_factor,tr_sharpe,tr_t_stat,tr_max_dd_bps,tr_trades_per_day,tr_median_bars,tr_pct_reversion,tr_mfe_mae,va_trades,va_sessions,va_bps_per_trade,va_bps_per_day,va_win_rate,va_profit_factor,va_sharpe,va_t_stat,va_max_dd_bps,va_trades_per_day,va_median_bars,va_pct_reversion,va_mfe_mae
ma60.2sd.30m,QQQ,ma60,2.0,30,7174,1492,-0.6825521933756834,-3.2819232139927306,0.5528296626707555,0.9128911851463788,-1.25547476628041,-3.0548657505899577,-5141.247015136859,4.8083109919571045,30.0,0.46250348480624476,0.7206562772367651,2455,498,-0.6670845408091391,-3.2885392523824035,0.5454175152749491,0.9402787073093627,-0.8394183202290796,-1.180029445313663,-1858.1501556547591,4.929718875502008,30.0,0.46272912423625256,0.7532412679024998
ma60.2sd.30m,IWM,ma60,2.0,30,7201,1494,-0.14831051551169203,-0.7148487431055514,0.5657547562838494,0.9828123239056628,-0.22980550349184206,-0.5595455594317167,-3211.0355048014776,4.819946452476573,30.0,0.48021108179419525,0.7272687216810119,2390,497,-0.6746409017531526,-3.244249004406509,0.5493723849372385,0.9397412047432823,-0.8875579812164833,-1.2464494136846895,-1606.2322285440819,4.808853118712274,30.0,0.45983263598326357,0.7494540603757303
ma60.2sd.30m,DIA,ma60,2.0,30,7044,1427,-0.6323349727793465,-3.121350769626991,0.5576377058489494,0.8985488143450558,-1.3481672659652857,-3.208156118920186,-4509.655563988058,4.936229852838122,30.0,0.4684838160136286,0.7270856963981944,2560,498,-0.9700234224910831,-4.9864657862995445,0.5390625,0.8735769823510968,-1.8879646321113968,-2.6540448354692066,-2597.4130892028356,5.140562248995984,30.0,0.4625,0.745903598586676
ma60.2sd.60m,SPY,ma60,2.0,60,5865,1496,-0.6113353386961663,-2.3967124073883794,0.643307757885763,0.9074345622470347,-1.033790852549774,-2.518826254205219,-3680.5034448597426,3.9204545454545454,33.0,0.8104006820119352,0.563651409279463,1970,498,-1.012952844767798,-4.0070624582179954,0.6218274111675127,0.8930080182886169,-1.2516067322346047,-1.7594717227360346,-1998.079079968032,3.9558232931726907,34.0,0.7949238578680203,0.5598136534343573
ma60.2sd.60m,QQQ,ma60,2.0,60,5621,1492,-0.8610933339199154,-3.244105650109814,0.6326276463262764,0.9013038850779125,-1.1260087698136398,-2.739844494014577,-5215.923259457883,3.767426273458445,34.0,0.8041273794698452,0.5482232193889433,1930,498,-0.964415465541661,-3.737594073283947,0.6264248704663212,0.9231274319652316,-0.9235122813669687,-1.2982462484550228,-2029.1140232851524,3.8755020080321283,34.0,0.7968911917098446,0.5810903777157549
ma60.2sd.60m,IWM,ma60,2.0,60,5732,1494,-0.4010135577198838,-1.5385607181060068,0.6465457083042568,0.9584561995347883,-0.45086245850848466,-1.0977895774451933,-3615.450371905008,3.8366800535475236,32.0,0.8058269364968598,0.568725239493652,1873,497,-1.3407541753451948,-5.052781831834105,0.6171916711158569,0.8939066536075181,-1.2910063805059604,-1.8130355200449215,-2511.239838955301,3.7686116700201207,34.0,0.785904965296316,0.5626757314510024
ma60.2sd.60m,DIA,ma60,2.0,60,5594,1427,-0.6907455627326998,-2.707800054608775,0.6465856274579908,0.8993443346141776,-1.0624811678292152,-2.528325339043301,-3919.924819582037,3.9201121233356693,34.0,0.8126564175902753,0.5576072429119344,1984,498,-1.3274740943267074,-5.288571492257403,0.6063508064516129,0.847286415057649,-1.907262957037323,-2.681173849822394,-2676.091346703098,3.9839357429718874,35.0,0.7852822580645161,0.564197119959188
ma60.2.5sd.30m,SPY,ma60,2.5,30,5010,1491,-0.34520015607634225,-1.1599280898339865,0.5413173652694611,0.9431987277561801,-0.5857229453803969,-1.4247241598785945,-1830.6664616607075,3.3601609657947686,30.0,0.4343313373253493,0.7537026176788955,1687,493,-0.7283793954186372,-2.4924463287449106,0.5400118553645524,0.9171115208367177,-0.955008972908007,-1.3357667885856166,-1211.0087327336778,3.4219066937119678,30.0,0.4315352697095436,0.7953642609409929
ma60.2.5sd.30m,QQQ,ma60,2.5,30,4785,1477,-0.5451287816167883,-1.7660400948113288,0.5318704284221526,0.9318220204873386,-0.7587428946577445,-1.8368961942246518,-3388.94426225964,3.239675016926202,30.0,0.42340647857889235,0.7324431170987004,1642,494,-1.0571122379570783,-3.5137212443836483,0.5310596833130329,0.9077175203411143,-1.1007955026255094,-1.5412385053687288,-1781.703304143124,3.3238866396761133,30.0,0.4238733252131547,0.7672908404116203
ma60.2.5sd.30m,IWM,ma60,2.5,30,4790,1481,0.23594234124381702,0.763108585116735,0.5569937369519833,1.027337561407399,0.2754404314649456,0.6677362424045163,-2302.411845409958,3.2343011478730586,30.0,0.44843423799582466,0.7654157366249684,1574,492,-1.32865855038154,-4.250627151017367,0.5273189326556544,0.8865832018782309,-1.358201792363505,-1.8977831234910574,-2092.914283601446,3.1991869918699187,30.0,0.420584498094028,0.7497467688759363
ma60.2.5sd.30m,DIA,ma60,2.5,30,4766,1414,-0.4315572809955935,-1.4545983035537475,0.5469995803608896,0.931171467091657,-0.6966057213912145,-1.6501045865603055,-2232.0498092570397,3.3705799151343707,30.0,0.43159882501049096,0.7386538880728747,1728,497,-0.8185830234233153,-2.8460995261076243,0.5335648148148148,0.8975778243503216,-1.177447905310656,-1.6535587333767268,-1590.1902380471126,3.476861167002012,30.0,0.43113425925925924,0.7880301768905372
ma60.2.5sd.60m,SPY,ma60,2.5,60,4115,1491,-0.3716120378580635,-1.025609346603576,0.6320777642770352,0.9450549368399864,-0.4713113764731464,-1.14642718060299,-1752.9393225682736,2.759892689470154,35.0,0.7961117861482382,0.5831640372999455,1377,493,-1.5281327354986152,-4.268232812944408,0.6245461147421931,0.8536995823675289,-1.5127229988854918,-2.1158389078670146,-2092.3017982220026,2.793103448275862,37.0,0.7719680464778504,0.5826713512234835
ma60.2.5sd.60m,QQQ,ma60,2.5,60,3915,1477,-0.5621357920197657,-1.4900214121580113,0.6237547892720307,0.9365449569281339,-0.5814183990452577,-1.4075983471847628,-2569.973653268356,2.6506431956668925,36.0,0.7974457215836526,0.5625208626921916,1348,494,-1.3176163081141081,-3.595438832667647,0.6261127596439169,0.9006063059535732,-1.0483141733141113,-1.467758694309598,-1768.8675972530875,2.7287449392712553,36.0,0.7856083086053413,0.5819408152542204
ma60.2.5sd.60m,IWM,ma60,2.5,60,3948,1481,0.32032507357111795,0.8539118098978891,0.6451367781155015,1.0328982477764086,0.28858001493254815,0.6995898669604814,-1957.5878361768341,2.6657663740715734,34.0,0.8024316109422492,0.611834588263989,1292,492,-1.4781231844644898,-3.8815755169270747,0.6145510835913313,0.8858758305889914,-1.159826243641405,-1.6205976782981524,-1947.7365372756349,2.6260162601626016,37.0,0.7685758513931888,0.5678168368940353
ma60.2.5sd.60m,DIA,ma60,2.5,60,3934,1414,-0.4078103731961745,-1.1346011373081684,0.6426029486527707,0.941430857395597,-0.4994477791887459,-1.1830811115659352,-2232.497559731959,2.782178217821782,35.0,0.8012201321809863,0.5788094904347905,1410,497,-1.324792169639276,-3.758464706622493,0.6078014184397164,0.8582090390363175,-1.4348695049796338,-2.0150708923203027,-1999.8257216124928,2.837022132796781,36.0,0.7730496453900709,0.5936439368151922
