panel,symbol,predictor,target,kind,rho_search,t_search,n_search,rho_hold,t_hold,n_hold,scale_free
ETF,QQQ,fc_vol x open15_range_pct,eff_mfe,interaction,0.036603596238690264,1.5449088612545077,1781,0.0322798223366661,0.911200715695946,798,True
ETF,QQQ,open15_range_pct,cost_opp_usd,main,0.6783875900393355,39.81118093958067,1861,0.5034079339733599,16.437595257457694,798,False
ETF,QQQ,fc_vol x open15_range_pct,cost_opp_usd,interaction,0.7436915208114835,46.92070071397373,1781,0.49800517661597987,16.202577766985208,798,False
ETF,QQQ,open15_closeloc,eff_range,main,0.098612676878645,4.272621454622519,1861,0.11115355699559437,3.155582137635799,798,True
ETF,QQQ,fc_vol x open15_closeloc,eff_range,interaction,0.12259859839157555,5.210292075873618,1781,0.08288579149354262,2.3465703790811796,798,True
ETF,QQQ,open15_closeloc,eff_mfe,main,0.0412066700645797,1.7781821338654338,1861,-0.02690901740879204,-0.7594718228668929,798,True
ETF,QQQ,fc_vol x open15_closeloc,eff_mfe,interaction,0.007671025290400433,0.3235595084219832,1781,-0.06638789348285738,-1.8771742234063291,798,True
ETF,QQQ,open15_closeloc,cost_opp_usd,main,-0.0228560198723799,-0.9857204501833787,1861,-0.014785708961973076,-0.41720179143173103,798,False
ETF,QQQ,fc_vol x open15_closeloc,cost_opp_usd,interaction,0.3210277104601837,14.297118165231732,1781,0.10192791464984766,2.8907962433573755,798,False
ETF,QQQ,open15_vol_share,eff_range,main,-0.08398762039739613,-3.6340603798216935,1861,-0.09265309195668557,-2.6253585212058677,798,True
ETF,QQQ,fc_vol x open15_vol_share,eff_range,interaction,0.021443528465911,0.9046573070972713,1781,-0.058094629872136545,-1.6418241192192078,798,True
ETF,QQQ,open15_vol_share,eff_mfe,main,-0.11731118441188912,-5.093170671134716,1861,-0.06525691300730081,-1.8450568313043878,798,True
ETF,QQQ,fc_vol x open15_vol_share,eff_mfe,interaction,-0.0745979717626866,-3.1551990456913805,1781,-0.08992152138932458,-2.547317878628025,798,True
ETF,QQQ,open15_vol_share,cost_opp_usd,main,-0.21760517800733586,-9.612640339250472,1861,-0.1549204321082593,-4.424257547153426,798,False
ETF,QQQ,fc_vol x open15_vol_share,cost_opp_usd,interaction,0.4861818356442001,23.46637475135788,1781,0.15994620018569405,4.571492245007453,798,False
ETF,QQQ,open30_ret_pct,eff_range,main,0.11413022507515996,4.9532180671495265,1861,0.10665723405282539,3.02643412081764,798,True
ETF,QQQ,fc_vol x open30_ret_pct,eff_range,interaction,0.09168192925296469,3.8833334137175215,1781,0.10571013929674715,2.9992549171245573,798,True
ETF,QQQ,open30_ret_pct,eff_mfe,main,0.048134804846273,2.0777946102286133,1861,-0.055343222559468455,-1.5638211867310865,798,True
ETF,QQQ,fc_vol x open30_ret_pct,eff_mfe,interaction,0.04319896358162726,1.823756738282614,1781,-0.05218350071728729,-1.4742864304097185,798,True
ETF,QQQ,open30_ret_pct,cost_opp_usd,main,0.0027783275722211838,0.11979117366399926,1861,-0.061164028225828004,-1.7288865409154761,798,False
ETF,QQQ,fc_vol x open30_ret_pct,cost_opp_usd,interaction,0.009585000685812263,0.4042965850797971,1781,-0.05086652631318899,-1.4369815434131115,798,False
ETF,QQQ,open30_absret_pct,eff_range,main,0.19776249704873786,8.69854864028439,1861,0.1343294173234888,3.824562280326749,798,True
