strategy,symbol,family,newly_added,trades,net_pnl,expectancy_trade,expectancy_session,stressed_expectancy_trade,profit_factor,win_rate,max_dd,dd_over_mll,sharpe,sortino,t_stat,consec_losing_days,median_hold_min,trades_per_session,time_in_market,mc_prob_dd_exceeds_mll,best_twin_pass,dll_breach_rate,verdict
breakout.compression_expansion,ES,breakout,False,3811,-57618.07999999994,-15.11888743112043,-185.8647741935482,-27.61888743112043,0.7774613261475897,0.2988716872212018,-59138.09999999988,29.56904999999994,-3.689210276370811,-5.160384078899164,-4.0917961203538535,10,3.0,12.293548387096774,0.186667766685917,,,,REJECT
revert.z_60.q90,ES,reversion,False,5078,-69369.83999999994,-13.660858605750288,-223.77367741935464,-26.16085860575029,0.7754636086748607,0.5931469082315872,-71155.71999999994,35.57785999999997,-3.934590406584186,-4.701387573793733,-4.363953408662918,10,2.0,16.38064516129032,0.1706377361603828,,,,REJECT
revert.z_60.q95,ES,reversion,False,3270,-38673.09999999996,-11.826636085626902,-124.75193548387084,-24.326636085626905,0.7898992618650411,0.5737003058103975,-38957.079999999965,19.47853999999998,-3.0944965904250865,-3.516027500436319,-3.432184178887641,8,2.0,10.548387096774194,0.0845969804471578,,,,REJECT
revert.vwap.q90,ES,reversion,False,2046,-1071.37999999999,-0.5236461388074172,-3.4560645161290005,-13.023646138807417,0.9944122353572435,0.7673509286412512,-20127.0,10.0635,-0.044314598270758,-0.0348966306040577,-0.0491504380871733,5,3.0,6.6,0.245606798118967,,,,REJECT
revert.vwap.q95,ES,reversion,False,1233,10439.259999999987,8.466553122465537,33.67503225806448,-4.033446877534466,1.0869999523299805,0.7550689375506894,-11601.360000000011,5.800680000000006,0.4822820261817137,0.2895979427341663,0.5349111532856364,5,3.0,3.97741935483871,0.1317383054203448,1.0,0.3575,0.1612903225806451,REJECT
revert.z_calm_only,ES,reversion,False,1752,-27785.059999999987,-15.859052511415516,-89.62922580645157,-28.35905251141552,0.7024621538245392,0.5570776255707762,-27841.98000000001,13.920990000000005,-3.899364666715532,-4.435426973535031,-4.324883652554315,8,2.0,5.651612903225806,0.0382476693342133,,,,REJECT
session.late_day_continuation,ES,session,False,2908,-66079.73999999995,-22.723431911966973,-213.16045161290305,-35.223431911966976,0.740939065084298,0.2506877579092159,-65881.75999999998,32.94087999999999,-3.809351432673768,-5.712899443964277,-4.225047705497669,8,3.0,9.380645161290325,0.2259384539229436,,,,REJECT
session.late_day_fade,ES,session,False,2908,-28604.73999999995,-9.836568088033005,-92.27335483870952,-22.336568088033005,0.8700007671410581,0.5814993122420908,-40409.619999999966,20.204809999999984,-1.8196214298487663,-2.6061859082367445,-2.0181879994361016,6,3.0,9.380645161290325,0.2259384539229436,,,,REJECT
session.opening_drive,ES,session,False,2915,-47168.69999999998,-16.181372212692956,-152.1570967741935,-28.681372212692956,0.8715794389230823,0.3149228130360206,-50962.49999999999,25.481249999999996,-1.823189900156221,-2.378796353904846,-2.022145879813147,6,3.0,9.403225806451612,0.187138024915436,,,,REJECT
session.midday_reversion,ES,session,False,2256,-13865.179999999977,-6.14591312056737,-44.72638709677411,-18.645913120567368,0.8839634847493262,0.5966312056737588,-14804.35999999998,7.402179999999991,-1.3105131876843823,-1.4966195187936555,-1.4535232137308876,12,2.0,7.27741935483871,0.073038528174243,,,,REJECT
vol.expansion_trend,ES,volatility,False,5783,-124634.74000000003,-21.55191768978038,-402.04754838709687,-34.05191768978038,0.8101591385637835,0.3316617672488328,-124640.1599999999,62.32007999999995,-4.253275777514885,-6.455746192226089,-4.717415387433762,19,3.0,18.65483870967742,0.4149740120452108,,,,REJECT
vol.contraction_revert,ES,volatility,False,3251,-33901.27999999996,-10.427954475545976,-109.35896774193536,-22.927954475545977,0.7933362919468817,0.5816671793294371,-35395.09999999997,17.697549999999985,-3.063117277213232,-3.8274871623537,-3.3973805915502595,9,2.0,10.487096774193548,0.0971619503341308,,,,REJECT
vol.vol_of_vol_shock,ES,volatility,False,1121,-36624.87999999999,-32.6716146297948,-118.14477419354836,-45.1716146297948,0.7675989853893685,0.3024085637823372,-41351.25999999998,20.67562999999999,-2.045061681216509,-1.7738068746431563,-2.2682294654448043,5,4.0,3.6161290322580646,0.0962049335863377,,,,REJECT
volume.heavy_continuation.q80,ES,volume,False,7444,-142638.3199999999,-19.16151531434712,-460.1236129032255,-31.66151531434712,0.6648055762495694,0.3549167114454594,-142731.0199999999,71.36550999999996,-7.693086619233873,-11.20878660748336,-8.532596307601558,18,1.0,24.01290322580645,0.135046613315733,,,,REJECT
volume.heavy_continuation.q90,ES,volume,False,3913,-80491.13999999996,-20.57018655762841,-259.64883870967725,-33.0701865576284,0.6744869045619152,0.3746486072067467,-81194.32000000002,40.59716000000001,-5.602897170163704,-7.462226199583598,-6.214314497185656,11,1.0,12.62258064516129,0.0664631631053543,,,,REJECT
volume.climax_reversion,ES,volume,False,1061,-17623.079999999987,-16.609877474081042,-56.84864516129028,-29.10987747408105,0.8039457640996432,0.5664467483506126,-18725.86000000001,9.362930000000006,-1.7823478053139166,-1.9250042863194952,-1.9768468828182493,7,3.0,3.42258064516129,0.0379259137034898,,,,REJECT
added.donchian_breakout,ES,added,True,417,-19088.759999999995,-45.77640287769783,-61.57664516129031,-58.27640287769783,0.6737178277528452,0.0935251798561151,-19088.76,9.544379999999999,-1.2894096463251057,-1.6717624807310592,-1.4301167440013929,4,4.0,1.3451612903225807,0.082798448972857,,,,REJECT
added.bollinger_revert.2sd,ES,added,True,3884,-38419.01999999996,-9.891611740473728,-123.93232258064504,-22.391611740473728,0.8258385011175725,0.5883110195674562,-39261.41999999994,19.63070999999997,-2.7414864211957304,-3.288413841351926,-3.0406517010156877,7,2.0,12.529032258064516,0.1072271264747133,,,,REJECT
added.vwap_trend,ES,added,True,3566,-80904.48,-22.687739764441947,-260.9821935483871,-35.18773976444194,0.8432843609552112,0.2386427369601794,-82574.12,41.28706,-2.1740612445861345,-2.8474192355687062,-2.4113061331815167,9,4.0,11.503225806451614,0.5190413332233315,,,,REJECT
trend.ret_15.q80,NQ,trend,False,6936,-114383.08000000006,-16.491216839677037,-368.977677419355,-21.491216839677037,0.8845592728370643,0.2458189158016147,-114646.52000000022,57.32326000000011,-2.2466472036613045,-4.111922337571519,-2.4918130502413165,7,3.0,22.374193548387098,0.3390644336275885,,,,REJECT
trend.ret_15.q90,NQ,trend,False,5054,-108874.12000000002,-21.542168579343084,-351.20683870967747,-26.54216857934308,0.8301914931387763,0.277997625643055,-109580.13999999996,54.79006999999998,-3.310895972419177,-5.636009554432631,-3.672198188759002,10,2.0,16.303225806451614,0.1705799851497401,,,,REJECT
